                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88306,                 2.6017,                 1.1909,                0.00464,                      1,                0.77841,                0.52788,                0.64874,                 2.8625,                 1.1658,                0.00018,                0.00018,                0.00018
                      2,                0.81623,                 1.5837,                 1.1175,                      1,                0.24202,                0.70775,                0.46546,                0.86894,                 2.7593,                 1.3907,             0.00037624,             0.00037624,             0.00037624
                      3,                0.87343,                 1.5108,                 1.1741,                0.89905,                0.34262,                0.66469,                0.41091,                 1.0418,                 2.8808,                 1.5333,             0.00056852,             0.00056852,             0.00056852
                      4,                 0.9263,                 1.5436,                 1.1947,                0.87981,                0.65699,                0.73938,                0.50599,                 1.0171,                 2.5124,                 1.5394,             0.00075683,             0.00075683,             0.00075683
                      5,                0.90355,                 1.5312,                 1.1544,                0.48225,                0.34615,                0.40872,                0.19287,                 1.4393,                 2.9704,                 1.7858,             0.00094119,             0.00094119,             0.00094119
                      6,                 1.0077,                 1.6129,                 1.2072,                0.75081,                0.61538,                0.69931,                 0.4224,                 1.1996,                 2.3708,                 1.9508,              0.0011216,              0.0011216,              0.0011216
                      7,                 0.9721,                 1.4521,                 1.1911,                0.73282,                0.58974,                0.66378,                0.34798,                  1.178,                 2.2777,                 1.7505,               0.001298,               0.001298,               0.001298
                      8,                 1.0068,                  1.415,                  1.194,                0.50762,                0.52564,                  0.539,                0.28797,                 1.2978,                 2.4889,                  1.756,              0.0014705,              0.0014705,              0.0014705
                      9,                0.97026,                 1.3578,                 1.2171,                0.68794,                0.58974,                0.57987,                0.29568,                  1.259,                 2.7179,                 1.7644,               0.001639,               0.001639,               0.001639
                     10,                 1.0123,                 1.4281,                  1.258,                0.51107,                0.57692,                0.53821,                0.23483,                 1.6941,                    2.7,                 2.3013,              0.0018036,              0.0018036,              0.0018036
                     11,                 1.0039,                 1.3907,                 1.2485,                0.57218,                0.61538,                0.62932,                0.29522,                 1.6026,                 3.2231,                 2.4645,               0.001802,               0.001802,               0.001802
                     12,                 1.0164,                 1.3857,                 1.2418,                0.32056,                0.37179,                0.32691,                0.14418,                 1.7757,                   9.04,                 2.3839,               0.001802,               0.001802,               0.001802
                     13,                  0.918,                 1.2919,                 1.1797,                0.66195,                0.65274,                0.68598,                0.39329,                 1.3855,                 3.7226,                  2.013,              0.0017822,              0.0017822,              0.0017822
                     14,                0.92926,                  1.226,                  1.212,                0.84819,                0.55128,                0.62425,                0.34119,                 1.5332,                 2.4806,                 2.4035,              0.0017624,              0.0017624,              0.0017624
                     15,                0.93791,                 1.1695,                 1.1901,                0.70896,                0.60256,                0.67101,                0.41248,                 1.2345,                 2.1586,                 1.9181,              0.0017426,              0.0017426,              0.0017426
